nr,nazwa,pp,numberOfSeeds,seeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime
1,2,0.1,2,"[10, 22]",1899,71,0,992,52.23802001053186,0:00:00.001382
1,2,0.1,2,"[76, 111]",1899,72,0,994,52.343338599262765,0:00:00.001737
1,2,0.1,2,"[137, 160]",1899,73,0,996,52.44865718799369,0:00:00.001545
1,2,0.1,2,"[223, 229]",1899,74,1,999,52.60663507109005,0:00:00.002146
1,2,0.1,2,"[223, 229]",1899,75,0,999,52.60663507109005,0:00:00.002146
1,2,0.1,2,"[235, 324]",1899,76,0,1001,52.711953659820956,0:00:00.001986
1,2,0.1,2,"[370, 401]",1899,77,0,1003,52.81727224855187,0:00:00.001652
1,2,0.1,2,"[413, 427]",1899,78,1,1006,52.97525013164823,0:00:00.004047
1,2,0.1,2,"[413, 427]",1899,79,1,1007,53.027909426013686,0:00:00.004047
1,2,0.1,2,"[413, 427]",1899,80,0,1007,53.027909426013686,0:00:00.004047
1,2,0.1,2,"[434, 442]",1899,81,0,1009,53.1332280147446,0:00:00.001953
1,2,0.1,2,"[483, 1123]",1899,82,0,1011,53.23854660347551,0:00:00.001437
1,2,0.1,2,"[581, 1510]",1899,83,1,1014,53.396524486571884,0:00:00.001379
1,2,0.1,2,"[581, 1510]",1899,84,0,1014,53.396524486571884,0:00:00.001379
1,2,0.1,2,"[612, 619]",1899,85,0,1016,53.50184307530279,0:00:00.001216
1,2,0.1,2,"[1276, 678]",1899,86,0,1018,53.6071616640337,0:00:00.001092
1,2,0.1,2,"[1391, 741]",1899,87,0,1020,53.712480252764614,0:00:00.001021
1,2,0.1,2,"[747, 925]",1899,88,0,1022,53.817798841495524,0:00:00.000881
1,2,0.1,2,"[856, 874]",1899,89,0,1024,53.923117430226434,0:00:00.000817
1,2,0.1,2,"[883, 1076]",1899,90,0,1026,54.02843601895735,0:00:00.000791
1,2,0.1,2,"[1367, 836]",1899,91,1,1029,54.18641390205371,0:00:00.000748
1,2,0.1,2,"[1367, 836]",1899,92,0,1029,54.18641390205371,0:00:00.000748
1,2,0.1,2,"[1249, 1180]",1899,93,0,1031,54.291732490784625,0:00:00.000897
1,2,0.1,2,"[1290, 1323]",1899,94,1,1034,54.44971037388099,0:00:00.001405
1,2,0.1,2,"[1290, 1323]",1899,95,0,1034,54.44971037388099,0:00:00.001405
1,2,0.1,2,"[1329, 1145]",1899,96,0,1036,54.55502896261189,0:00:00.000927
1,2,0.1,2,"[1335, 927]",1899,97,1,1039,54.713006845708264,0:00:00.000878
1,2,0.1,2,"[1335, 927]",1899,98,0,1039,54.713006845708264,0:00:00.000878
1,2,0.1,2,"[1423, 1378]",1899,99,0,1041,54.818325434439174,0:00:00.000866
1,2,0.1,2,"[1380, 1395]",1899,100,0,1043,54.92364402317009,0:00:00.000946
1,2,0.1,2,"[669, 740]",1899,101,0,1045,55.028962611901,0:00:00.000710
1,2,0.1,2,"[1429, 1463]",1899,102,1,1048,55.18694049499737,0:00:00.000638
1,2,0.1,2,"[1429, 1463]",1899,103,0,1048,55.18694049499737,0:00:00.000638
1,2,0.1,2,"[1793, 1608]",1899,104,0,1050,55.29225908372828,0:00:00.000567
1,2,0.1,2,"[1491, 1522]",1899,105,0,1052,55.397577672459185,0:00:00.000468
1,2,0.1,2,"[1192, 1753]",1899,106,0,1054,55.5028962611901,0:00:00.000403
1,2,0.1,2,"[1550, 578]",1899,107,0,1056,55.60821484992101,0:00:00.000329
1,2,0.1,2,"[1578, 1596]",1899,108,0,1058,55.71353343865192,0:00:00.000328
1,2,0.1,2,"[1611, 1621]",1899,109,0,1060,55.81885202738284,0:00:00.000244
1,2,0.1,2,"[1652, 844]",1899,110,0,1062,55.92417061611374,0:00:00.000211
1,2,0.1,2,"[1791, 1797]",1899,111,1,1065,56.08214849921011,0:00:00.000175
1,2,0.1,2,"[1791, 1797]",1899,112,0,1065,56.08214849921011,0:00:00.000175
1,2,0.1,2,"[1812, 1862]",1899,113,0,1067,56.18746708794102,0:00:00.000182
1,2,0.1,2,"[1878, 451]",1899,114,0,1069,56.29278567667193,0:00:00.000154
1,2,0.1,2,"[796, 565]",1899,115,1,1072,56.450763559768305,0:00:00.000044
1,2,0.1,2,"[796, 565]",1899,116,0,1072,56.450763559768305,0:00:00.000044
1,2,0.1,2,"[1233, 1726]",1899,117,0,1074,56.55608214849921,0:00:00.000045
1,2,0.1,2,"[981, 397]",1899,118,0,1076,56.66140073723012,0:00:00.000117
1,2,0.1,2,"[694, 907]",1899,119,0,1078,56.766719325961034,0:00:00.000044
1,2,0.1,2,"[1788, 1125]",1899,120,0,1080,56.872037914691944,0:00:00.000047
1,2,0.1,2,"[1278, 1432]",1899,121,0,1082,56.97735650342285,0:00:00.000042
1,2,0.1,2,"[1029, 1828]",1899,122,0,1084,57.082675092153764,0:00:00.000031
1,2,0.1,2,"[515, 630]",1899,123,0,1086,57.187993680884674,0:00:00.000027
1,2,0.1,2,"[1535, 1803]",1899,124,0,1088,57.29331226961558,0:00:00.000026
1,2,0.1,2,"[911, 455]",1899,125,0,1090,57.3986308583465,0:00:00.000026
1,2,0.1,2,"[1001, 1714]",1899,126,0,1092,57.50394944707741,0:00:00.000023
1,2,0.1,2,"[1166, 340]",1899,127,0,1094,57.60926803580833,0:00:00.000023
