nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime,interval
1,5,0.3,2,"[2, 24]",62,1461,61,4,513,35.1129363449692,0:00:00.019260,2
1,5,0.3,2,"[42, 79]",64,1461,62,2,517,35.38672142368241,0:00:00.014082,2
1,5,0.3,2,"[42, 79]",64,1461,63,3,520,35.592060232717316,0:00:00.014082,2
1,5,0.3,2,"[85, 184]",66,1461,64,1,523,35.79739904175223,0:00:00.013946,2
1,5,0.3,2,"[85, 184]",66,1461,65,4,527,36.07118412046543,0:00:00.013946,2
1,5,0.3,2,"[195, 291]",68,1461,66,1,530,36.276522929500345,0:00:00.013372,2
1,5,0.3,2,"[195, 291]",68,1461,67,5,535,36.61875427789186,0:00:00.013372,2
1,5,0.3,2,"[330, 339]",70,1461,68,3,540,36.96098562628337,0:00:00.013113,2
1,5,0.3,2,"[330, 339]",70,1461,69,3,543,37.16632443531827,0:00:00.013113,2
1,5,0.3,2,"[446, 560]",72,1461,70,1,546,37.37166324435318,0:00:00.013035,2
1,5,0.3,2,"[446, 560]",72,1461,71,3,549,37.57700205338809,0:00:00.013035,2
1,5,0.3,2,"[640, 749]",74,1461,72,1,552,37.782340862423,0:00:00.012672,2
1,5,0.3,2,"[640, 749]",74,1461,73,1,553,37.850787132101296,0:00:00.012672,2
1,5,0.3,2,"[640, 749]",74,1461,74,1,554,37.9192334017796,0:00:00.012672,2
1,5,0.3,2,"[640, 749]",74,1461,75,0,554,37.9192334017796,0:00:00.012672,2
