nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime
1,2,0.1,2,"[345, 762]",114,1899,68,0,901,47.44602422327541,0:00:22.684580
1,2,0.1,2,"[399, 631]",116,1899,69,0,901,47.44602422327541,0:00:22.684580
1,2,0.1,2,"[438, 1792]",118,1899,70,0,902,47.49868351764086,0:00:22.684580
1,2,0.1,2,"[635, 1669]",120,1899,71,1,904,47.60400210637177,0:00:22.684580
1,2,0.1,2,"[635, 1669]",120,1899,72,0,904,47.60400210637177,0:00:22.684580
1,2,0.1,2,"[1079, 1562]",122,1899,73,0,906,47.70932069510268,0:00:22.684580
1,2,0.1,2,"[1375, 1026]",124,1899,74,0,907,47.76197998946814,0:00:22.684580
1,2,0.1,2,"[47, 329]",126,1899,75,0,908,47.8146392838336,0:00:22.684580
1,2,0.1,2,"[350, 1219]",128,1899,76,0,908,47.8146392838336,0:00:22.684580
1,2,0.1,2,"[1031, 1406]",130,1899,77,0,908,47.8146392838336,0:00:22.684580
1,2,0.1,2,"[1513, 1876]",132,1899,78,0,909,47.867298578199055,0:00:22.684580
1,2,0.1,2,"[882, 274]",134,1899,79,0,910,47.9199578725645,0:00:22.684580
1,2,0.1,2,"[1365, 1199]",136,1899,80,1,911,47.972617166929965,0:00:22.684580
1,2,0.1,2,"[1365, 1199]",136,1899,81,0,911,47.972617166929965,0:00:22.684580
1,2,0.1,2,"[1502, 1676]",138,1899,82,0,913,48.077935755660874,0:00:22.684580
1,2,0.1,2,"[1335, 1284]",140,1899,83,0,914,48.13059505002633,0:00:22.684580
1,2,0.1,2,"[551, 1717]",142,1899,84,0,915,48.183254344391784,0:00:22.684580
1,2,0.1,2,"[1750, 1638]",144,1899,85,0,916,48.23591363875724,0:00:22.684580
1,2,0.1,2,"[1424, 1037]",146,1899,86,0,917,48.288572933122694,0:00:22.684580
1,2,0.1,2,"[735, 326]",148,1899,87,0,918,48.34123222748815,0:00:22.684580
1,2,0.1,2,"[1586, 1383]",150,1899,88,0,919,48.393891521853604,0:00:22.684580
1,2,0.1,2,"[1844, 364]",152,1899,89,0,920,48.446550816219066,0:00:22.684580
1,2,0.1,2,"[1746, 516]",154,1899,90,0,921,48.49921011058452,0:00:22.684580
1,2,0.1,2,"[286, 851]",156,1899,91,0,922,48.55186940494997,0:00:22.684580
1,2,0.1,2,"[808, 187]",158,1899,92,0,924,48.657187993680886,0:00:22.684580
1,2,0.1,2,"[705, 856]",160,1899,93,0,925,48.70984728804634,0:00:22.684580
1,2,0.1,2,"[1472, 1860]",162,1899,94,0,927,48.81516587677725,0:00:22.684580
1,2,0.1,2,"[1712, 821]",164,1899,95,2,930,48.973143759873615,0:00:22.684580
1,2,0.1,2,"[1712, 821]",164,1899,96,3,932,49.07846234860453,0:00:22.684580
1,2,0.1,2,"[1712, 821]",164,1899,97,0,932,49.07846234860453,0:00:22.684580
1,2,0.1,2,"[1619, 1587]",166,1899,98,0,932,49.07846234860453,0:00:22.684580
1,2,0.1,2,"[1602, 1594]",168,1899,99,0,932,49.07846234860453,0:00:22.684580
1,2,0.1,2,"[1801, 167]",170,1899,100,0,934,49.18378093733544,0:00:22.684580
1,2,0.1,2,"[588, 91]",172,1899,101,2,936,49.28909952606635,0:00:22.684580
1,2,0.1,2,"[588, 91]",172,1899,102,0,936,49.28909952606635,0:00:22.684580
1,2,0.1,2,"[976, 145]",174,1899,103,0,937,49.34175882043181,0:00:22.684580
1,2,0.1,2,"[625, 582]",176,1899,104,0,938,49.39441811479726,0:00:22.684580
1,2,0.1,2,"[1396, 1012]",178,1899,105,1,940,49.49973670352817,0:00:22.684580
1,2,0.1,2,"[1396, 1012]",178,1899,106,0,940,49.49973670352817,0:00:22.684580
1,2,0.1,2,"[800, 21]",180,1899,107,0,942,49.60505529225908,0:00:22.684580
1,2,0.1,2,"[1218, 1454]",182,1899,108,0,944,49.71037388098999,0:00:22.684580
1,2,0.1,2,"[1716, 264]",184,1899,109,2,946,49.81569246972091,0:00:22.684580
1,2,0.1,2,"[1716, 264]",184,1899,110,0,946,49.81569246972091,0:00:22.684580
1,2,0.1,2,"[709, 1611]",186,1899,111,0,948,49.92101105845181,0:00:22.684580
1,2,0.1,2,"[1447, 623]",188,1899,112,0,949,49.97367035281727,0:00:22.684580
1,2,0.1,2,"[903, 526]",190,1899,113,0,950,50.026329647182735,0:00:22.684580
1,2,0.1,2,"[925, 648]",192,1899,114,2,953,50.18430753027909,0:00:22.684580
1,2,0.1,2,"[925, 648]",192,1899,115,2,954,50.23696682464455,0:00:22.684580
1,2,0.1,2,"[925, 648]",192,1899,116,0,954,50.23696682464455,0:00:22.684580
1,2,0.1,2,"[1535, 384]",194,1899,117,0,956,50.342285413375464,0:00:22.684580
1,2,0.1,2,"[1893, 1881]",196,1899,118,2,959,50.50026329647183,0:00:22.684580
1,2,0.1,2,"[1893, 1881]",196,1899,119,0,959,50.50026329647183,0:00:22.684580
1,2,0.1,2,"[1547, 1552]",198,1899,120,0,961,50.60558188520273,0:00:22.684580
1,2,0.1,2,"[94, 1732]",200,1899,121,1,963,50.71090047393365,0:00:22.684580
1,2,0.1,2,"[94, 1732]",200,1899,122,0,963,50.71090047393365,0:00:22.684580
1,2,0.1,2,"[1442, 885]",202,1899,123,0,965,50.81621906266456,0:00:22.684580
1,2,0.1,2,"[1008, 1171]",204,1899,124,0,965,50.81621906266456,0:00:22.684580
1,2,0.1,2,"[1321, 1475]",206,1899,125,0,966,50.86887835703001,0:00:22.684580
1,2,0.1,2,"[1089, 962]",208,1899,126,0,967,50.921537651395475,0:00:22.684580
1,2,0.1,2,"[1865, 747]",210,1899,127,0,968,50.97419694576093,0:00:22.684580
1,2,0.1,2,"[1128, 1230]",212,1899,128,3,971,51.13217482885729,0:00:22.684580
1,2,0.1,2,"[1128, 1230]",212,1899,129,0,971,51.13217482885729,0:00:22.684580
1,2,0.1,2,"[1508, 941]",214,1899,130,0,972,51.18483412322274,0:00:22.684580
1,2,0.1,2,"[229, 426]",216,1899,131,0,974,51.29015271195366,0:00:22.684580
1,2,0.1,2,"[1205, 1596]",218,1899,132,0,976,51.39547130068457,0:00:22.684580
1,2,0.1,2,"[1797, 1812]",220,1899,133,1,979,51.55344918378094,0:00:22.684580
1,2,0.1,2,"[1797, 1812]",220,1899,134,0,979,51.55344918378094,0:00:22.684580
1,2,0.1,2,"[1491, 126]",222,1899,135,0,981,51.65876777251185,0:00:22.684580
1,2,0.1,2,"[1090, 100]",224,1899,136,1,984,51.81674565560821,0:00:22.684580
1,2,0.1,2,"[1090, 100]",224,1899,137,0,984,51.81674565560821,0:00:22.684580
1,2,0.1,2,"[1258, 1082]",226,1899,138,0,986,51.922064244339126,0:00:22.684580
1,2,0.1,2,"[1159, 1333]",228,1899,139,2,989,52.08004212743549,0:00:22.684580
1,2,0.1,2,"[1159, 1333]",228,1899,140,1,990,52.13270142180095,0:00:22.684580
1,2,0.1,2,"[1159, 1333]",228,1899,141,0,990,52.13270142180095,0:00:22.684580
1,2,0.1,2,"[1411, 1572]",230,1899,142,0,992,52.23802001053186,0:00:22.684580
1,2,0.1,2,"[1869, 469]",232,1899,143,0,993,52.29067930489732,0:00:22.684580
1,2,0.1,2,"[650, 292]",234,1899,144,0,995,52.39599789362822,0:00:22.684580
1,2,0.1,2,"[30, 1062]",236,1899,145,0,995,52.39599789362822,0:00:22.684580
1,2,0.1,2,"[1096, 1663]",238,1899,146,0,997,52.50131648235914,0:00:22.684580
1,2,0.1,2,"[1699, 1729]",240,1899,147,0,999,52.60663507109005,0:00:22.684580
1,2,0.1,2,"[178, 1868]",242,1899,148,0,1000,52.6592943654555,0:00:22.684580
1,2,0.1,2,"[1514, 1720]",244,1899,149,0,1002,52.76461295418642,0:00:22.684580
1,2,0.1,2,"[552, 575]",246,1899,150,0,1003,52.81727224855187,0:00:22.684580
1,2,0.1,2,"[5, 850]",248,1899,151,0,1005,52.922590837282776,0:00:22.684580
1,2,0.1,2,"[258, 982]",250,1899,152,1,1008,53.08056872037915,0:00:22.684580
1,2,0.1,2,"[258, 982]",250,1899,153,0,1008,53.08056872037915,0:00:22.684580
1,2,0.1,2,"[1503, 829]",252,1899,154,0,1010,53.18588730911006,0:00:22.684580
1,2,0.1,2,"[906, 1697]",254,1899,155,0,1012,53.29120589784097,0:00:22.684580
1,2,0.1,2,"[1766, 1088]",256,1899,156,0,1014,53.396524486571884,0:00:22.684580
1,2,0.1,2,"[1845, 1874]",258,1899,157,0,1016,53.50184307530279,0:00:22.684580
1,2,0.1,2,"[1636, 1422]",260,1899,158,0,1017,53.55450236966824,0:00:22.684580
1,2,0.1,2,"[1737, 729]",262,1899,159,0,1018,53.6071616640337,0:00:22.684580
1,2,0.1,2,"[434, 968]",264,1899,160,0,1020,53.712480252764614,0:00:22.684580
1,2,0.1,2,"[972, 1816]",266,1899,161,0,1022,53.817798841495524,0:00:22.684580
1,2,0.1,2,"[1404, 1439]",268,1899,162,0,1023,53.87045813586098,0:00:22.684580
1,2,0.1,2,"[1584, 1524]",270,1899,163,1,1026,54.02843601895735,0:00:22.684580
